DESCRIPTION,CHALLENGE,TRIGGERED,PREDICTION,OTHERBayes,OTHERS,STATUS
"computerized work desk
",TCO,"['', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.9999999999972955, complexBayes 0.05529157667386612, linClass: 0 0, USE: 1 0.96298385","BayesTCO: 0.9999999999967273, BayesMixed 0.5121224127205274, BayesMixed w/o dups 0.5776901884766636, compl BayesTCO: 0.05529157667386612, compl BayesMixed: 0.09255046798405234, compl BayesMixed w/o dups: 0.10428598767983098","Lin Class: 0 0, USE mixed: 1 0.53286535",usable
"i work in machinery maintenance, we have to work in some very difficult environments where it is not always possible to take the machine manuals etc with us. I would use this coating to turn machine label boards into touch screen displays that will provide us with all the information about the machine.",TCO,[''],"Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.95036817","BayesTCO: 1.0, BayesMixed 1.0062733870790919e-07, BayesMixed w/o dups 1.722119602135071e-07, compl BayesTCO: 1.0, compl BayesMixed: 4.5397640384571225e-13, compl BayesMixed w/o dups: 5.531098368820237e-13","Lin Class: 0 0, USE mixed: 0 0.90787363",usable
I would provide this to teachers who can now turn white boards into large touch screens which would improve their teaching efficiency manifold. ,TCO,[''],"Bayes: 0.9999995321037601, complexBayes 0.9999998792905287, linClass: 0 0, USE: 0 0.72144103","BayesTCO: 0.9999997329774567, BayesMixed 3.8938006693158235e-06, BayesMixed w/o dups 7.469040819258731e-07, compl BayesTCO: 0.9999999699053989, compl BayesMixed: 2.2221943466196894e-06, compl BayesMixed w/o dups: 7.675288483616219e-06","Lin Class: 0 0, USE mixed: 0 0.9574055",usable
health monitor,TCO,"['', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']","Bayes: 0.9999999999985001, complexBayes 0.2285714285714286, linClass: 0 0, USE: 1 0.90019846","BayesTCO: 0.9999999999985001, BayesMixed 0.13368686803686414, BayesMixed w/o dups 0.15164848414893795, compl BayesTCO: 0.2285714285714286, compl BayesMixed: 0.6991080277502477, compl BayesMixed w/o dups: 0.7262051915945611","Lin Class: 0 0, USE mixed: 0 0.7024813",unusable
laptop touch screen,TCO,"['', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.13285611128879632, complexBayes 0.057371972487531404, linClass: 0 0, USE: 1 0.9808975","BayesTCO: 0.12170146881588634, BayesMixed 0.7295069600221116, BayesMixed w/o dups 0.726216284947438, compl BayesTCO: 0.3642384105960265, compl BayesMixed: 0.8793418656643145, compl BayesMixed w/o dups: 0.9047377842575292","Lin Class: 0 0, USE mixed: 0 0.5835596",usable
You could use it on all the windows in your home making every window in your home have a different scenery ,TCO,[''],"Bayes: 0.9997832125851016, complexBayes 0.022336229384704365, linClass: 0 0, USE: 0 0.73361886","BayesTCO: 1.0, BayesMixed 5.97357161682296e-08, BayesMixed w/o dups 3.0626935661986744e-08, compl BayesTCO: 1.0, compl BayesMixed: 4.3600014570425454e-24, compl BayesMixed w/o dups: 8.111486394995689e-24","Lin Class: 0 0, USE mixed: 0 0.86464256",usable
A teddy bear for toddlers that helped them tap what they wanted to say before they have the ability to speak. You could have pictures of objects.,TCO,[''],"Bayes: 2.3717991780401706e-06, complexBayes 4.808189521815769e-05, linClass: 0 0, USE: 0 0.8747476","BayesTCO: 0.9999999674483775, BayesMixed 1.02397268599187e-07, BayesMixed w/o dups 2.64392001648919e-08, compl BayesTCO: 0.9999999839074604, compl BayesMixed: 2.300167186628869e-17, compl BayesMixed w/o dups: 1.9704417975276252e-16","Lin Class: 0 0, USE mixed: 0 0.97242",usable
touchscreen in the bathroom to select water temperature and water pressure in the shower,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 8.000128648838854e-05, complexBayes 0.9999999989820891, linClass: 0 0, USE: 1 0.71863455","BayesTCO: 6.954399253340714e-05, BayesMixed 0.0013690449708191564, BayesMixed w/o dups 0.002900183762762366, compl BayesTCO: 0.9999999994065386, compl BayesMixed: 2.606230811243511e-07, compl BayesMixed w/o dups: 4.1687035147468394e-07","Lin Class: 0 0, USE mixed: 0 0.6735304",usable
"Your car is already able to call for help when an accident occurs, but within a few years, it’ll tip paramedics off to probable injuries too. E.M.T.’s would know the likelihood of internal bleeding or traumatic head injury, for example, before arriving on the scene, which would help them decide whether to move you to a Level 1 trauma center or a standard emergency room. Researchers at the University of Michigan International Center for Automotive Medicine have created the predictive models by cross-referencing the crash data provided by sensors on cars, like speed and location of impact, with 3-D scans of accident victims. Tamara Warren",TCO,"['', 'containsName']","Bayes: 4.184310573196931e-10, complexBayes 6.193035235473671e-11, linClass: 0 0, USE: 1 0.69079727","BayesTCO: 1.3834149728116079e-09, BayesMixed 6.407863207011415e-11, BayesMixed w/o dups 3.8285783092471936e-11, compl BayesTCO: 0.9999999999999988, compl BayesMixed: 6.469178047991656e-28, compl BayesMixed w/o dups: 1.4606918173526407e-30","Lin Class: 0 0, USE mixed: 0 0.9662293",unusable
Touchscreen printer that will allow for more personalized functions.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.9999999993385246, complexBayes 0.9999999999939899, linClass: 0 0, USE: 1 0.7190799","BayesTCO: 0.9999999997268538, BayesMixed 0.00910104864435194, BayesMixed w/o dups 0.005973211961185781, compl BayesTCO: 0.9999999999944295, compl BayesMixed: 0.009513969128185923, compl BayesMixed w/o dups: 0.006934653079262799","Lin Class: 0 0, USE mixed: 0 0.85278785",usable
Turn the handle in the shower into a tablet for water settings based on your body temperature.,TCO,"['', 'Wordcount']","Bayes: 0.999999903601961, complexBayes 1.0, linClass: 0 0, USE: 1 0.93251145","BayesTCO: 0.9999999737950125, BayesMixed 7.712788563364262e-06, BayesMixed w/o dups 9.078953982505483e-06, compl BayesTCO: 1.0, compl BayesMixed: 3.7239542498208272e-06, compl BayesMixed w/o dups: 7.203771294836001e-06","Lin Class: 0 0, USE mixed: 0 0.58224773",usable
"that coating could be used on human body like arm, hand etc",TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999998277189792, complexBayes 3.5872973310030986e-05, linClass: 0 0, USE: 1 0.66274536","BayesTCO: 1.0, BayesMixed 1.1865277786259255e-06, BayesMixed w/o dups 1.778539098609733e-06, compl BayesTCO: 0.9999999805195802, compl BayesMixed: 7.696542165367076e-11, compl BayesMixed w/o dups: 1.1213710894451612e-10","Lin Class: 0 0, USE mixed: 0 0.76052463",usable
"So I'm thinking about creating a Desk with a touch display, where you can control different compartments of the desk with the touch screen. For example, if you wanted to open the bottom right drawer and have the desk give you all the documents in there, you can use the touch screen to have it put it in your hand.",TCO,[''],"Bayes: 0.9977072408820852, complexBayes 1.0, linClass: 0 0, USE: 0 0.78490144","BayesTCO: 0.9973979975339288, BayesMixed 2.5538928907628136e-09, BayesMixed w/o dups 5.308825400385267e-09, compl BayesTCO: 1.0, compl BayesMixed: 3.475274655625468e-23, compl BayesMixed w/o dups: 1.4755068682040446e-23","Lin Class: 0 0, USE mixed: 0 0.8562296",usable
You could use the coating to put on your desk and use that instead of a keyboard.,TCO,"['', 'Wordcount']","Bayes: 2.0713801410420724e-09, complexBayes 0.6234949644592653, linClass: 0 0, USE: 0 0.92306876","BayesTCO: 1.6579471523864715e-09, BayesMixed 2.073101530070739e-05, BayesMixed w/o dups 1.5742530381991502e-05, compl BayesTCO: 0.5672524357850901, compl BayesMixed: 4.482446864202589e-22, compl BayesMixed w/o dups: 7.669469817678086e-22","Lin Class: 0 0, USE mixed: 0 0.8892871",usable
"a hand screen where you spay it on your hand and it temporarily acts as a body information device where you see your body temperature along with heart rate and body mass index among other things related to your health
",TCO,[''],"Bayes: 0.9999999999999998, complexBayes 1.837591114411721e-12, linClass: 0 0, USE: 1 0.7434736","BayesTCO: 0.9999999999999997, BayesMixed 8.5112366384898e-07, BayesMixed w/o dups 2.3116242437407934e-06, compl BayesTCO: 0.4793160165303756, compl BayesMixed: 2.8535330439794417e-11, compl BayesMixed w/o dups: 1.2951395520732198e-09","Lin Class: 0 0, USE mixed: 0 0.7093748",usable
sync any device with analog controls to the screens input. ,TCO,"['', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']","Bayes: 0.026351337240368214, complexBayes 0.999999999999, linClass: 0 0, USE: 1 0.9105622","BayesTCO: 0.03532270314839575, BayesMixed 0.003047579444302063, BayesMixed w/o dups 0.0019280171084670493, compl BayesTCO: 0.999999999999, compl BayesMixed: 7.702399502098592e-05, compl BayesMixed w/o dups: 0.00012175345409468564","Lin Class: 0 0, USE mixed: 0 0.7624715",usable
Make a refrigerator have a touch panel to control things in it.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.6593740229932226e-05, complexBayes 0.9999984615388318, linClass: 0 0, USE: 1 0.74965405","BayesTCO: 5.9459317142308855e-05, BayesMixed 0.000897843971077389, BayesMixed w/o dups 0.001349331075029271, compl BayesTCO: 0.999999059563933, compl BayesMixed: 9.071475324538855e-07, compl BayesMixed w/o dups: 2.5119374315998907e-06","Lin Class: 0 0, USE mixed: 0 0.6135925",usable
Windows that turn into displays. ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.11540622429087946, complexBayes 3.4767179462880143e-06, linClass: 0 0, USE: 1 0.6766419","BayesTCO: 0.18484147087362363, BayesMixed 0.1829851377197671, BayesMixed w/o dups 0.08405670505425135, compl BayesTCO: 3.4767179462880143e-06, compl BayesMixed: 8.907806807453808e-06, compl BayesMixed w/o dups: 1.1608350729160585e-05","Lin Class: 0 0, USE mixed: 0 0.6895286",usable
"A movie screen of any size where ever you want it. Controls are built into screen to pause
",TCO,"['', 'Wordcount']","Bayes: 0.9999999927619008, complexBayes 1.0, linClass: 0 0, USE: 1 0.9923016","BayesTCO: 0.999999997250922, BayesMixed 1.1956823802405422e-05, BayesMixed w/o dups 1.5226475324477355e-05, compl BayesTCO: 1.0, compl BayesMixed: 0.0014454486136301508, compl BayesMixed w/o dups: 0.0012757469989425447","Lin Class: 0 0, USE mixed: 0 0.6363807",usable
You could coat an armrest on a couch or chair to put a touch screen there. For when you need to change the movie you always have a remote.,TCO,[''],"Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 0 0.9289964","BayesTCO: 0.9999999999999998, BayesMixed 1.7211520751912237e-08, BayesMixed w/o dups 3.358151160655331e-08, compl BayesTCO: 1.0, compl BayesMixed: 3.605606102018205e-13, compl BayesMixed w/o dups: 1.3064487088155928e-12","Lin Class: 0 0, USE mixed: 0 0.8674369",usable
A big touch display on your door so that you can open it with a code and not use a key.,TCO,[''],"Bayes: 0.9995168250058597, complexBayes 0.9999999999928175, linClass: 0 0, USE: 0 0.8100833","BayesTCO: 0.9995802277986028, BayesMixed 2.915799422324861e-07, BayesMixed w/o dups 6.035840302496077e-07, compl BayesTCO: 0.9999999999902731, compl BayesMixed: 3.29954042581333e-16, compl BayesMixed w/o dups: 9.342571767690313e-15","Lin Class: 0 0, USE mixed: 0 0.82286716",usable
Touch display door that has the keypad on a screen in the door.,TCO,"['', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 8.610686819531524e-06, complexBayes 2.8438483834378057e-09, linClass: 0 0, USE: 1 0.7268733","BayesTCO: 7.576431195370852e-06, BayesMixed 0.0016627244482468907, BayesMixed w/o dups 0.002065916500254636, compl BayesTCO: 3.7295241650739644e-09, compl BayesMixed: 1.0108259376105097e-08, compl BayesMixed w/o dups: 1.7556396096726268e-08","Lin Class: 0 0, USE mixed: 0 0.616037",usable
You could add it to a box to keep try of the contents.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 8.003544080920155e-06, complexBayes 5.5070675861926984e-06, linClass: 0 0, USE: 0 0.7798225","BayesTCO: 6.440798051043615e-06, BayesMixed 1.4230456975412276e-05, BayesMixed w/o dups 2.5742200196738678e-05, compl BayesTCO: 5.9296025967143305e-06, compl BayesMixed: 2.332691463211014e-20, compl BayesMixed w/o dups: 2.0723184306818539e-19","Lin Class: 0 0, USE mixed: 0 0.9132249",usable
create a touchscreen microwave. ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.2651229033206673, complexBayes 0.9999999999978364, linClass: 0 0, USE: 1 0.9766217","BayesTCO: 0.2583730282783433, BayesMixed 0.14197409831138166, BayesMixed w/o dups 0.16741673107498523, compl BayesTCO: 0.9999999999982545, compl BayesMixed: 0.7770434016303152, compl BayesMixed w/o dups: 0.6863559351184749","Lin Class: 0 0, USE mixed: 1 0.64182764",usable
Make your gaming controller a touch display.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.003643543176643668, complexBayes 0.06539835118340133, linClass: 0 0, USE: 1 0.93765473","BayesTCO: 0.0031605473054507147, BayesMixed 0.011814787584940615, BayesMixed w/o dups 0.01405958103378436, compl BayesTCO: 0.08515803763681645, compl BayesMixed: 0.11230504488977242, compl BayesMixed w/o dups: 0.10371471695536402","Lin Class: 0 0, USE mixed: 1 0.6056446",usable
on a shower head for the temperature.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.0001420504020444226, complexBayes 0.0004780947857287266, linClass: 0 0, USE: 1 0.8294362","BayesTCO: 0.00020302061687155724, BayesMixed 0.005291743803609934, BayesMixed w/o dups 0.0033901114856711785, compl BayesTCO: 0.0004549827147182258, compl BayesMixed: 0.01199747740930345, compl BayesMixed w/o dups: 0.011923445359290252","Lin Class: 0 0, USE mixed: 0 0.5631326",usable
A touch display could be added to windows to set automated opening and locking times without the use of in-home smart equipment. ,TCO,[''],"Bayes: 1.9586547930424225e-09, complexBayes 6.84844467689726e-13, linClass: 0 0, USE: 0 0.6805453","BayesTCO: 2.112298689000083e-09, BayesMixed 2.6372420886017205e-09, BayesMixed w/o dups 1.174437397481105e-09, compl BayesTCO: 0.6636899609479727, compl BayesMixed: 4.609128987150373e-16, compl BayesMixed w/o dups: 1.5365226934294346e-15","Lin Class: 0 0, USE mixed: 0 0.8962879",usable
washing machine that keeps track of how much clothing is in inside,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999999066951, complexBayes 0.9999999999939899, linClass: 0 0, USE: 1 0.96359277","BayesTCO: 0.9999999999421431, BayesMixed 6.843726341064946e-05, BayesMixed w/o dups 0.00010273489241632105, compl BayesTCO: 0.9999999999944295, compl BayesMixed: 0.001218669504475128, compl BayesMixed w/o dups: 0.002760095603776159","Lin Class: 0 0, USE mixed: 0 0.6321415",usable
"A tablet to go.  Instead of carrying around a physical tablet, the coating could be carried instead to turn any surface into a touch tablet, like a liquid.  It could even use microprocessor and RAM technology within the coating, as well as data storage.  The coating would be in a small container.",TCO,[''],"Bayes: 0.9999999999999996, complexBayes 1.0, linClass: 0 0, USE: 1 0.92970425","BayesTCO: 0.9999999999999998, BayesMixed 2.5187523252213643e-08, BayesMixed w/o dups 4.1232553804056794e-08, compl BayesTCO: 1.0, compl BayesMixed: 1.0, compl BayesMixed w/o dups: 1.0","Lin Class: 0 0, USE mixed: 0 0.76946646",usable
Refrigerator touchscreen that can adjust the temperature and humidity.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 4.973715175259808e-06, complexBayes 3.505021613483342e-05, linClass: 0 0, USE: 0 0.8032994","BayesTCO: 4.432822075170755e-06, BayesMixed 0.005188124529588827, BayesMixed w/o dups 0.007785000333377441, compl BayesTCO: 3.605260870067738e-05, compl BayesMixed: 0.00016276638950776923, compl BayesMixed w/o dups: 0.00020172390506089448","Lin Class: 0 0, USE mixed: 0 0.70857286",usable
You could make a desk top that was a touch display at work.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999650046609, complexBayes 6.256401284449635e-07, linClass: 0 0, USE: 0 0.5529863","BayesTCO: 0.9999999532264344, BayesMixed 0.00021594321170079555, BayesMixed w/o dups 0.00029803596450333656, compl BayesTCO: 3.885734267958238e-08, compl BayesMixed: 2.56751829323301e-06, compl BayesMixed w/o dups: 1.084043305201213e-05","Lin Class: 0 0, USE mixed: 0 0.56203324",usable
Put is on a turtle and be able to have it clean the house,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 3.363416148188165e-07, complexBayes 6.744309280316878e-11, linClass: 0 0, USE: 1 0.5182493","BayesTCO: 6.4938432002311e-07, BayesMixed 1.7611221129691853e-05, BayesMixed w/o dups 1.9050402054004126e-05, compl BayesTCO: 0.9999999999999958, compl BayesMixed: 3.6838767352177663e-13, compl BayesMixed w/o dups: 1.6693066147996045e-12","Lin Class: 0 0, USE mixed: 0 0.8031863",unusable
"This would be fantastic for a lot of things. I would love a touch display on my fridge that has the contents that are in it, allows me to meal plan, and tells me what I need. A touch screen on my tv would be awesome too, especially since I use Roku.",TCO,[''],"Bayes: 0.9855480799578993, complexBayes 1.0, linClass: 0 0, USE: 0 0.68093526","BayesTCO: 0.9888266422446808, BayesMixed 1.7331709102542394e-09, BayesMixed w/o dups 1.7359181945275077e-09, compl BayesTCO: 1.0, compl BayesMixed: 2.9282781336517824e-20, compl BayesMixed w/o dups: 1.7877728360376994e-18","Lin Class: 0 0, USE mixed: 0 0.7003331",usable
Coat is to the tips of your fingers and be able to interact in virtual reality,TCO,"['', 'Wordcount']","Bayes: 0.0005045357605503391, complexBayes 0.9999983284194967, linClass: 0 0, USE: 1 0.9021573","BayesTCO: 0.0009887509626510976, BayesMixed 2.6107835749762733e-07, BayesMixed w/o dups 4.279966783895929e-07, compl BayesTCO: 1.0, compl BayesMixed: 3.8143593299512264e-12, compl BayesMixed w/o dups: 2.290289236295744e-11","Lin Class: 0 0, USE mixed: 0 0.79897046",unusable
A touchscreen on my cabinet. I could use it to pull up recipes or search for ideas for dinner.,TCO,"['', 'Wordcount']","Bayes: 9.07447396756256e-09, complexBayes 6.665628920668249e-11, linClass: 0 0, USE: 0 0.7150586","BayesTCO: 1.1805683136878683e-08, BayesMixed 4.656864632319829e-06, BayesMixed w/o dups 1.5361600070626473e-05, compl BayesTCO: 5.653333922320099e-11, compl BayesMixed: 1.9296077438158183e-21, compl BayesMixed w/o dups: 8.995296238153976e-20","Lin Class: 0 0, USE mixed: 0 0.9090904",usable
"Soon, coffee isn’t going to taste like coffee — at least not the dark, ashy roasts we drink today. Big producers want uniform taste, and a dark roast makes that easy: it evens out flavors and masks flaws. But now the best beans are increasingly being set aside and shipped in vacuum-sealed packs (instead of burlap bags). Improvements like these have allowed roasters to make coffee that tastes like Seville oranges or toasted almonds or berries, and that sense of experimentation is trickling down to the mass market; Starbucks, for instance, now has a Blonde Roast. As quality continues to improve, coffee will lighten, and dark roasts may just become a relic of the past. Oliver Strand",TCO,"['', 'containsName']","Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.82955706","BayesTCO: 1.0, BayesMixed 5.81615626742151e-07, BayesMixed w/o dups 6.758343478101434e-07, compl BayesTCO: 1.0, compl BayesMixed: 4.615938874114737e-16, compl BayesMixed w/o dups: 8.26991207647765e-18","Lin Class: 0 0, USE mixed: 0 0.511056",unusable
you could use it to control the temperature in the shower or bathtub ,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 3.496535240079015e-07, complexBayes 0.9999999999999997, linClass: 0 0, USE: 0 0.9317314","BayesTCO: 3.9566550425581554e-07, BayesMixed 4.296499118495362e-06, BayesMixed w/o dups 7.290493879239026e-06, compl BayesTCO: 0.9999999999999997, compl BayesMixed: 3.2036374246984646e-31, compl BayesMixed w/o dups: 1.276478856860813e-29","Lin Class: 0 0, USE mixed: 0 0.9047274",usable
you could use it on your shoes so it could tie your laces ,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.003352538424175e-07, complexBayes 1.0456451928047555e-14, linClass: 0 0, USE: 0 0.94651496","BayesTCO: 5.422389583157814e-07, BayesMixed 2.4069981160371594e-05, BayesMixed w/o dups 3.920244315557113e-05, compl BayesTCO: 4.5194990007449935e-15, compl BayesMixed: 5.45509084417984e-23, compl BayesMixed w/o dups: 6.80085995441527e-22","Lin Class: 0 0, USE mixed: 0 0.9613936",unusable
you could use it on any surface for a hands on experience for anything you are trying to learn ,TCO,"['', 'Wordcount']","Bayes: 0.9999987359528001, complexBayes 1.0, linClass: 0 0, USE: 1 0.7031612","BayesTCO: 0.9999994305677721, BayesMixed 2.3299283082573224e-06, BayesMixed w/o dups 7.256938899089839e-07, compl BayesTCO: 1.0, compl BayesMixed: 6.346514306936541e-10, compl BayesMixed w/o dups: 8.314061910260293e-09","Lin Class: 0 0, USE mixed: 0 0.9456069",usable
Apply it to a desk so the entire desktop is a display,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.00039496771834564916, complexBayes 0.9999999999144824, linClass: 0 0, USE: 1 0.84387857","BayesTCO: 0.00029990257805241323, BayesMixed 0.013355919380326193, BayesMixed w/o dups 0.023542362924365366, compl BayesTCO: 0.9999999999629513, compl BayesMixed: 0.00030320454829709437, compl BayesMixed w/o dups: 0.0006838352449859365","Lin Class: 0 0, USE mixed: 1 0.5330685",usable
A touch display glove could be convenient. ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.0004984151579883393, complexBayes 1.5632836597618698e-05, linClass: 0 0, USE: 1 0.93209386","BayesTCO: 0.000351078083309216, BayesMixed 0.002218071800777724, BayesMixed w/o dups 0.003367723212213357, compl BayesTCO: 9.128278125291921e-06, compl BayesMixed: 0.00010454238206203247, compl BayesMixed w/o dups: 0.0006695762524469385","Lin Class: 0 0, USE mixed: 0 0.6130835",usable
"A touch display would be useful on the door of a refrigerator. It could keep your grocery list, left over dates and expiration dates all in one spot. No more wasting food!",TCO,[''],"Bayes: 1.0, complexBayes 0.9999999985390062, linClass: 0 0, USE: 1 0.74966675","BayesTCO: 1.0, BayesMixed 3.649552530095496e-10, BayesMixed w/o dups 9.291832923529385e-10, compl BayesTCO: 0.999999996337099, compl BayesMixed: 1.3331219648052709e-20, compl BayesMixed w/o dups: 7.19130059473869e-20","Lin Class: 0 0, USE mixed: 0 0.73743147",usable
"Cover the interior of autonomous vehicles with it as a secondary control system, in case the autonomous system fails.",TCO,"['', 'Wordcount']","Bayes: 0.9999999990291157, complexBayes 1.0, linClass: 0 0, USE: 1 0.9864726","BayesTCO: 0.9999999992488661, BayesMixed 0.00020184274299662425, BayesMixed w/o dups 0.000135753111345945, compl BayesTCO: 1.0, compl BayesMixed: 0.00017362108776866955, compl BayesMixed w/o dups: 0.00023459878050586467","Lin Class: 0 0, USE mixed: 0 0.5598917",usable
"To curb the amount of graffiti in cities, turn the facade of buildings into virtual art galleries.",TCO,"['', 'Wordcount']","Bayes: 0.007179651839268896, complexBayes 1.0, linClass: 0 0, USE: 1 0.97230905","BayesTCO: 0.015157860418202397, BayesMixed 0.00019035759684629208, BayesMixed w/o dups 0.00013821498208866923, compl BayesTCO: 1.0, compl BayesMixed: 3.805011996861695e-05, compl BayesMixed w/o dups: 3.201713519581086e-05","Lin Class: 0 0, USE mixed: 0 0.72456825",usable
"A kitchen counter that could display cooking recipes. You could flip through pages etc and add recipes of your own
",TCO,[''],"Bayes: 2.870828375424211e-07, complexBayes 6.538824188449119e-05, linClass: 0 0, USE: 0 0.9328221","BayesTCO: 1.9111532898806833e-07, BayesMixed 2.666805428926125e-06, BayesMixed w/o dups 5.753995409619876e-06, compl BayesTCO: 4.8909711246615405e-05, compl BayesMixed: 8.453407114614907e-11, compl BayesMixed w/o dups: 4.481140356098777e-10","Lin Class: 0 0, USE mixed: 0 0.83111095",usable
"a device where you can spray in side a car dashboard. the dashboard then tells you the mph you are going and other car related information such as temperature
",TCO,[''],"Bayes: 2.6834175168235566e-06, complexBayes 4.7312295603438636e-05, linClass: 0 0, USE: 1 0.7862666","BayesTCO: 1.7030985935090674e-06, BayesMixed 5.365057279236294e-07, BayesMixed w/o dups 4.4367417718254355e-07, compl BayesTCO: 0.9999999936884864, compl BayesMixed: 4.976818295628241e-12, compl BayesMixed w/o dups: 1.8770288699947886e-12","Lin Class: 0 0, USE mixed: 0 0.67505777",usable
Counter tops that display moving video.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.011482794286525103, complexBayes 5.293108812991381e-09, linClass: 0 0, USE: 1 0.5530326","BayesTCO: 0.010250684282501324, BayesMixed 0.007095115693290699, BayesMixed w/o dups 0.012347418446352352, compl BayesTCO: 5.293108812991381e-09, compl BayesMixed: 0.30345005592359975, compl BayesMixed w/o dups: 0.33213982851220203","Lin Class: 0 0, USE mixed: 0 0.68290573",usable
Apply to kitchen counters or stove tops for easy access,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0007443600761106433, complexBayes 0.0633020240772589, linClass: 0 0, USE: 0 0.8883032","BayesTCO: 0.0009596065430615326, BayesMixed 0.0014908280642562746, BayesMixed w/o dups 0.0016802550581128779, compl BayesTCO: 0.05914380997754032, compl BayesMixed: 0.015453117691569361, compl BayesMixed w/o dups: 0.021100397665358674","Lin Class: 0 0, USE mixed: 0 0.8134277",usable
Make your keyboard a touch display.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.00545537631539052, complexBayes 0.06539835118340133, linClass: 0 0, USE: 1 0.9422575","BayesTCO: 0.003258992527494446, BayesMixed 0.11111651375975784, BayesMixed w/o dups 0.07842741712769245, compl BayesTCO: 0.08515803763681645, compl BayesMixed: 0.381475711906377, compl BayesMixed w/o dups: 0.36066140140075736","Lin Class: 0 0, USE mixed: 1 0.65581656",usable
fitting room virtually with a touch display. You could try on shirts virtually and adjust it to your liking with the touch display,TCO,[''],"Bayes: 2.6622689320523635e-09, complexBayes 1.0085016180607745e-12, linClass: 0 0, USE: 0 0.9043701","BayesTCO: 1.9979030259626637e-09, BayesMixed 8.485261873692997e-08, BayesMixed w/o dups 1.8001387726063343e-07, compl BayesTCO: 5.961349270210734e-13, compl BayesMixed: 8.40034949863504e-15, compl BayesMixed w/o dups: 2.0377826742350292e-13","Lin Class: 0 0, USE mixed: 0 0.9406357",usable
You could apply it on the ground and use it as a gamepad for dancing video games,TCO,"['', 'Wordcount']","Bayes: 1.1442611090805588e-07, complexBayes 1.5507751135048453e-15, linClass: 0 0, USE: 0 0.8760582","BayesTCO: 2.3092368794816298e-07, BayesMixed 7.960205256116905e-08, BayesMixed w/o dups 9.237911394856808e-08, compl BayesTCO: 0.0006459046585123422, compl BayesMixed: 1.6285582786144403e-23, compl BayesMixed w/o dups: 4.94677230447659e-22","Lin Class: 0 0, USE mixed: 0 0.9386718",usable
"a touch display on restaurant tables, so you can view menus, coupons and order food at the table without having to call a waiter or go to the register. ",TCO,[''],"Bayes: 0.9999684677941263, complexBayes 9.502935251473046e-13, linClass: 0 0, USE: 0 0.9155475","BayesTCO: 0.9999638808603004, BayesMixed 1.0224627037744786e-08, BayesMixed w/o dups 2.3938832561457857e-08, compl BayesTCO: 0.2558571042919267, compl BayesMixed: 1.2251780854343832e-15, compl BayesMixed w/o dups: 5.947973849438499e-14","Lin Class: 0 0, USE mixed: 0 0.89196944",usable
